objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671768542543947,6122,301,4,130,75,3,258.022132291672,64.1239170920824,23.47948,25.18145,24.11865,22.10255,22.08739,0.6937841,0.6041915,0.5213268,0.1677181,0.6705864
1237671768542543943,6122,301,4,130,71,3,258.022446214548,64.1257834712902,24.32772,24.50583,22.35169,21.44412,22.12986,1.01747,0.5201875,0.1338477,0.09069392,0.6675309
1237671768542543944,6122,301,4,130,72,6,258.018896689318,64.1246351228515,24.63205,24.38784,22.17603,21.9033,22.8253,1.048619,0.4960879,0.1165392,0.1349672,0.7923259
1237671768542544455,6122,301,4,130,583,6,257.994534498766,64.1334173446727,23.41458,20.82625,19.24143,17.56082,16.63141,0.5813726,0.02849439,0.01230621,0.006873443,0.009858302
1237671768542544811,6122,301,4,130,939,3,257.985069795015,64.1338507456874,22.28022,20.14752,19.28014,18.89829,18.71421,0.4207803,0.02604317,0.01835175,0.01929734,0.07093122
1237671768542543955,6122,301,4,130,83,6,258.005947247284,64.1278612112119,25.12041,24.97013,24.71142,22.74195,22.83312,0.9127647,0.5683704,0.5591707,0.2572011,0.7490419
1237671768542545539,6122,301,4,130,1667,3,257.990303490521,64.1289002624296,26.01983,23.49486,23.03505,22.18122,22.25088,0.5454408,0.2682507,0.2438647,0.1777492,0.7175745
1237671768542543934,6122,301,4,130,62,6,258.008851822504,64.1218733196387,15.08016,12.30879,11.77243,11.62476,13.75426,0.008452244,0.0007722626,0.0007055636,0.0006220884,0.01970411
1237671768542543940,6122,301,4,130,68,6,258.005268363539,64.124029349957,24.63465,22.8518,21.95989,22.23397,22.82689,1.011988,0.1661011,0.09542146,0.176311,0.7643748
1237671768542543951,6122,301,4,130,79,6,258.001831442344,64.1281065100122,25.7068,23.35441,25.17645,24.35987,21.79716,0.6060709,0.2168872,0.4902128,0.5417795,0.4872252
1237671768542543948,6122,301,4,130,76,6,258.002736182662,64.1258678195229,24.63464,24.6638,23.00748,22.80063,22.82689,1.004634,0.533269,0.2193637,0.273912,0.7489492
1237671768542543950,6122,301,4,130,78,6,257.999467018355,64.1279227050488,24.90994,23.46587,25.217,24.06694,22.66597,0.9965757,0.2520441,0.53182,0.5813183,0.766297
1237671939804562409,6162,301,3,133,1001,6,258.056888860904,64.0675123905348,25.18065,24.71881,24.16047,22.57532,21.9518,0.84453,0.5381512,0.4967975,0.2166119,0.4300182
1237671939804561879,6162,301,3,133,471,3,258.039138385861,64.0664027616829,20.62337,19.01636,18.10757,17.71852,17.42937,0.1001742,0.0116951,0.008075494,0.008078651,0.02010643
1237671939804561880,6162,301,3,133,472,3,258.045082219663,64.0660693655225,24.32967,22.71788,21.12364,20.65059,20.33583,0.9997848,0.1397874,0.04848766,0.04572821,0.1297292
1237671939804561881,6162,301,3,133,473,6,258.042121375653,64.0668817908571,24.22303,23.03709,24.11564,24.3007,22.32442,0.9465694,0.1802085,0.5056695,0.589119,0.5347413
1237671939804562408,6162,301,3,133,1000,6,258.054003109481,64.0668179043304,23.96001,21.91111,20.58754,19.39933,18.85606,0.8048233,0.0665189,0.02985809,0.01682236,0.03613142
1237671939804563026,6162,301,3,133,1618,3,258.056013924537,64.0722014468563,21.25694,26.49202,22.546,20.16457,21.88204,0.4879043,1.574237,0.8650054,0.1503189,2.523373
1237671939804562385,6162,301,3,133,977,3,258.034083800137,64.0752866418947,22.81371,21.7046,20.96657,20.6092,20.39286,0.5124942,0.07472813,0.05626963,0.06021909,0.1893345
1237671939804561892,6162,301,3,133,484,3,258.047339015807,64.0719923571304,24.0986,20.1825,19.63042,19.20312,19.40381,3.249625,0.0474019,0.04415709,0.04459772,0.2111589
1237671939804561891,6162,301,3,133,483,3,258.048312315367,64.0729620860137,21.93319,21.46792,20.83274,20.72446,20.40917,0.2200685,0.05752981,0.04573737,0.05938681,0.1696186
1237671939804561894,6162,301,3,133,486,3,258.045110180579,64.0710366171607,21.90253,21.88239,21.34235,21.62206,21.2754,0.1926982,0.0774866,0.06521009,0.1182019,0.308889
1237671939804561890,6162,301,3,133,482,3,258.043341958627,64.0703140831232,21.09824,19.0564,18.15462,17.73128,17.40137,0.1343638,0.0112874,0.0078523,0.007685175,0.01798533
1237671939804561893,6162,301,3,133,485,6,258.044668023787,64.0726784837939,23.88388,24.85959,22.97997,24.04002,23.16457,0.8021812,0.5622459,0.218338,0.5486552,0.5297976
1237671939804562075,6162,301,3,133,667,3,258.043245299954,64.1023895677696,21.87744,20.01464,19.1762,18.78424,18.55005,0.2845736,0.02291161,0.01615953,0.01628071,0.0475606
1237671939804561897,6162,301,3,133,489,3,258.033474288674,64.0973831285266,19.9445,18.11538,17.24741,16.83212,16.52064,0.06488913,0.007188361,0.005291835,0.005189254,0.01161347
1237671939804562411,6162,301,3,133,1003,3,258.048783590293,64.0952810801067,25.42744,22.33096,20.7117,19.82662,19.38513,1.018716,0.1231329,0.04346387,0.02978024,0.07665982
1237671939804562810,6162,301,3,133,1402,6,258.046221194633,64.0980525045837,24.40411,23.5133,22.1201,20.86989,20.29002,0.934899,0.2476407,0.1011709,0.04946859,0.1135511
1237671939804562344,6162,301,3,133,936,6,257.999844219354,64.0954962674057,22.53656,21.25665,20.92855,20.85981,20.84498,0.2888969,0.0394149,0.03816178,0.04923493,0.1802873
1237671939804562368,6162,301,3,133,960,6,258.020119314962,64.0933342344295,25.39083,22.5398,21.1785,20.49463,19.93006,0.7395414,0.1103763,0.04646532,0.03690457,0.0841668
1237671939804562379,6162,301,3,133,971,3,258.021257118901,64.0969867340643,24.07009,21.76297,21.07576,20.98021,20.40124,1.47934,0.09270142,0.07422362,0.1008796,0.2376089
1237671939804562963,6162,301,3,133,1555,6,258.04951931384,64.0912760359183,24.92397,25.9731,24.25274,22.33535,21.04244,0.9022074,0.4066913,0.4952242,0.1695355,0.2118005
1237671939804562406,6162,301,3,133,998,3,258.044261928645,64.0912646677982,24.81314,21.58071,20.69556,20.30512,20.44992,1.541575,0.07479043,0.05034773,0.05253819,0.2320545
1237671939804562395,6162,301,3,133,987,3,258.038754102619,64.0879551186876,22.3414,21.98943,21.5381,21.35523,21.56249,0.3657994,0.1009095,0.09585227,0.118976,0.5221359
1237671939804561902,6162,301,3,133,494,6,258.04586688182,64.087333653076,22.27388,19.74077,18.37358,17.4728,16.99089,0.2327755,0.0140464,0.007725914,0.006253283,0.01089755
1237671939804561876,6162,301,3,133,468,3,258.027087921379,64.0890021499435,20.48564,18.81302,17.91183,17.4824,17.17163,0.08547954,0.009962434,0.007010646,0.006839408,0.01601118
1237671939804562405,6162,301,3,133,997,3,258.043491464809,64.0924990142668,22.3237,21.31194,20.10527,19.60759,19.15604,0.3598967,0.05662675,0.0291968,0.02755906,0.07051342
1237671939804562378,6162,301,3,133,970,6,258.024537373959,64.0952483051097,22.44262,20.70295,20.07581,19.84734,19.63012,0.2706771,0.02635359,0.02052264,0.02274074,0.06559662
1237671939804561898,6162,301,3,133,490,6,258.034249570726,64.0957924687378,23.57308,22.16645,21.71999,21.1822,21.5245,0.689392,0.08634859,0.07782195,0.06932911,0.339882
1237671939804562302,6162,301,3,133,894,3,257.965169963568,64.0864652482441,24.68397,22.93414,22.10374,21.2832,22.31946,1.052662,0.1692177,0.1117325,0.07966329,0.5737157
1237671939804561816,6162,301,3,133,408,3,257.980121302595,64.0793110931565,20.84968,18.89751,17.98728,17.57244,17.31767,0.1072271,0.01002745,0.007047761,0.00693847,0.01662731
1237671939804562326,6162,301,3,133,918,3,257.991445384628,64.079138591445,23.00624,21.50177,20.87476,20.5177,20.13625,0.7079149,0.07241555,0.06062714,0.06753382,0.1825808
1237671939804561833,6162,301,3,133,425,6,257.991587760313,64.0918275813046,25.54113,24.20149,22.97665,23.21795,21.855,0.7276095,0.4398336,0.2302141,0.3802676,0.4338149
1237671939804561832,6162,301,3,133,424,3,257.991610518186,64.0927352718463,22.76271,21.6903,21.0847,20.72988,20.69498,0.3953581,0.06107268,0.0488608,0.0514286,0.1883348
1237671939804561830,6162,301,3,133,422,3,257.991871535819,64.0891509923163,18.85739,16.83767,15.92575,15.47749,15.12584,0.03455662,0.004136099,0.003252046,0.003161851,0.005716679
1237671939804561831,6162,301,3,133,423,3,257.987103131703,64.0847498270037,20.37625,19.17316,18.84232,18.62476,18.68751,0.1111117,0.01585524,0.01689644,0.0206719,0.08386812
1237671939804562316,6162,301,3,133,908,3,257.975599810237,64.0847469492843,25.34402,24.97024,22.48726,21.91694,21.82664,0.817342,0.5853356,0.1501058,0.1322899,0.4223525
1237671939804562315,6162,301,3,133,907,3,257.975815677462,64.0832137418083,22.73014,21.72817,20.71554,20.46775,20.04764,0.4804562,0.0764205,0.04572567,0.05327749,0.1534011
1237671939804563023,6162,301,3,133,1615,3,258.011216699496,64.0902374768492,24.25805,23.80723,23.00612,21.69072,21.54778,1.429284,0.486452,0.3515547,0.1631777,0.5466946
1237671939804562346,6162,301,3,133,938,3,258.007955998832,64.0755830992196,23.2383,22.03825,21.73753,21.2626,22.24453,0.6414431,0.08801232,0.0938107,0.08955523,0.6362655
1237671939804562371,6162,301,3,133,963,3,258.027937662098,64.0779411808205,22.83705,21.63128,20.91442,20.57565,20.19128,0.4437432,0.06167889,0.04580643,0.04868054,0.13072
1237671939804562076,6162,301,3,133,668,3,258.053081880467,64.0820748884383,21.21487,19.46928,18.69085,18.32275,18.1463,0.1832841,0.01649351,0.01243031,0.01293606,0.03952264
1237671939804562400,6162,301,3,133,992,3,258.04550283083,64.0830556989891,25.23433,22.0606,21.10995,20.59117,20.69947,1.327333,0.1104994,0.0701392,0.06534409,0.277076
1237671939804562794,6162,301,3,133,1386,6,258.028809700628,64.0805862570642,25.07611,23.98255,22.71969,22.51451,21.69392,0.8988423,0.3602085,0.173902,0.2067839,0.3572783
1237671939804562386,6162,301,3,133,978,3,258.033633706469,64.0815486008365,23.62669,21.64089,21.06423,20.87317,20.53443,1.119317,0.08058194,0.07135871,0.08916394,0.2533884
1237671939804562074,6162,301,3,133,666,6,258.036065589792,64.0844790163109,23.83596,20.75405,19.66753,19.2448,18.98685,0.761732,0.02735442,0.01574785,0.01524046,0.03961746
1237671939804562362,6162,301,3,133,954,3,258.017389403645,64.0868236806547,23.99676,21.45782,20.22326,19.77779,19.50305,0.9534926,0.05170752,0.02556725,0.024777,0.07047389
1237671939804562278,6162,301,3,133,870,3,257.948541218362,64.0888812575247,24.4069,22.73849,22.65762,22.21255,22.65214,1.039737,0.1434902,0.1805622,0.180929,0.634321
1237671939804562294,6162,301,3,133,886,3,257.958526295063,64.0932414804357,24.73417,22.16908,21.42778,21.08842,20.9324,1.418692,0.1126402,0.08411518,0.09304421,0.3076351
1237671939804562262,6162,301,3,133,854,6,257.940374793307,64.0941041608975,25.76547,23.04679,21.84561,20.37995,19.61433,0.6327689,0.1761789,0.08360058,0.0355574,0.06880555
1237671939804562312,6162,301,3,133,904,3,257.966850750623,64.0986316629497,27.10412,21.10674,20.30416,19.83478,19.6909,0.3877359,0.06051631,0.0434701,0.04229266,0.1571142
1237671939804562317,6162,301,3,133,909,3,257.971471646706,64.0969853155896,26.28882,21.45283,20.58509,20.22268,19.84017,1.072384,0.1064661,0.07213547,0.07826202,0.2205974
1237671939804562301,6162,301,3,133,893,3,257.958883872623,64.1010717700444,22.59185,22.23547,22.0713,21.34604,20.6484,0.4929282,0.1327576,0.1630623,0.1266689,0.2671101
1237671939804562274,6162,301,3,133,866,3,257.942705287063,64.0983074917292,22.14132,21.37783,20.70844,20.3822,20.19786,0.3524351,0.0668153,0.0542972,0.06007729,0.1996498
