objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237663783126040995,4263,301,2,152,419,3,5.47131062718938,-0.835753240234519,24.32007,23.76425,21.80266,20.95817,20.42568,0.9259937,0.3961535,0.1411501,0.08823156,0.1854259
1237663783126041805,4263,301,2,152,1229,3,5.47483860750077,-0.821301358369837,25.03009,22.7089,21.5204,21.29715,20.97104,1.74609,0.3100299,0.1683902,0.2154572,0.5102178
1237663783126041408,4263,301,2,152,832,3,5.47210308992314,-0.823758267523662,23.09022,22.18108,21.27031,21.023,20.53148,0.4437281,0.1021389,0.0697897,0.07869798,0.1761332
1237663783126040996,4263,301,2,152,420,3,5.47083906178264,-0.834168543215147,24.16806,24.15351,23.56762,22.26131,22.43333,0.6778877,0.3904187,0.3552059,0.1713597,0.4996344
1237663783126040994,4263,301,2,152,418,3,5.46974507725047,-0.832749638812485,22.03534,20.99241,20.5764,20.19533,19.88666,0.233534,0.04737182,0.04855584,0.05085745,0.1323145
1237663783126042050,4263,301,2,152,1474,3,5.47232958690587,-0.827928888473013,25.04243,25.38268,24.7176,24.11726,20.86345,0.7951316,0.6217514,0.7241179,0.6761289,0.2097952
1237663783126040997,4263,301,2,152,421,6,5.47076311730282,-0.831367828991164,24.3163,24.88255,22.87071,22.93914,21.98461,0.6580915,0.482985,0.1823223,0.2566536,0.3616498
1237663783126041495,4263,301,2,152,919,3,5.49747829942748,-0.837317651484499,25.56307,22.12309,22.0072,22.06104,22.11838,1.372394,0.1945797,0.2708784,0.4158853,1.257939
1237663783126041498,4263,301,2,152,922,3,5.49965884194422,-0.833670142017464,24.51641,22.57651,21.79488,21.64291,21.34952,0.7597877,0.1160396,0.08426493,0.103441,0.2684945
1237663783126041499,4263,301,2,152,923,3,5.49803459093489,-0.83341394815618,25.17133,22.90245,22.53565,22.3355,22.89614,0.7173181,0.1648563,0.1810744,0.218572,0.6056379
1237663783126041449,4263,301,2,152,873,3,5.48200361417062,-0.837832839531542,23.7655,22.31113,22.15335,21.51633,21.24355,1.099951,0.1720115,0.2310425,0.2002666,0.4869859
1237663783126041024,4263,301,2,152,448,3,5.49400151775938,-0.832426653221889,22.3752,22.27362,21.89537,21.65735,22.39135,0.2161206,0.09223515,0.09429493,0.1065753,0.5169204
1237663783126041027,4263,301,2,152,451,3,5.49408235085655,-0.82839130917523,24.35369,23.14677,22.55278,21.7735,21.13433,0.7325701,0.1841026,0.1593481,0.111635,0.2244517
1237663783126041822,4263,301,2,152,1246,3,5.48415488809434,-0.832287716587433,23.7766,23.47999,22.34155,21.99811,22.36201,0.6608101,0.2772656,0.1559724,0.1628653,0.5824826
1237663783126041428,4263,301,2,152,852,3,5.47825361544426,-0.817341352120673,23.80467,22.73973,22.03584,21.86967,22.50302,0.6654998,0.1524432,0.124376,0.155743,0.6210112
1237663783126041010,4263,301,2,152,434,3,5.47845677541515,-0.824822222438929,24.06955,22.33606,20.70655,20.1008,19.52118,1.46821,0.1995898,0.06948356,0.05904337,0.1227787
1237663783126041447,4263,301,2,152,871,3,5.48376600463384,-0.820790960633348,23.96901,21.63843,20.76618,20.26694,19.91632,1.156891,0.09811098,0.09535247,0.06199723,0.1634131
1237663783126041448,4263,301,2,152,872,3,5.48206849891834,-0.819777173836064,22.49493,22.52317,22.03163,22.07269,21.3813,0.3446412,0.1723558,0.1669475,0.241191,0.4473941
1237663783126041987,4263,301,2,152,1411,3,5.48363353356708,-0.827068812310556,23.80713,24.67813,23.41821,22.20811,21.66167,0.6304197,0.5498031,0.3519505,0.1784605,0.3664367
1237663783126042080,4263,301,2,152,1504,3,5.4845583669224,-0.823859159627572,24.90856,24.02765,22.32735,22.31039,21.83438,1.063493,0.5319207,0.1961036,0.2762784,0.5524889
1237657189833835554,2728,301,1,449,1058,3,5.43697898606666,-0.889559162249837,23.15922,22.79819,21.62985,21.0773,20.86389,0.5802427,0.2070758,0.1028143,0.09338559,0.2769707
1237657189833835296,2728,301,1,449,800,3,5.43559694174309,-0.888017165956141,23.09372,21.96232,21.1766,20.80765,21.11406,0.6122875,0.1137164,0.07711771,0.08274385,0.3847688
1237657189833835297,2728,301,1,449,801,6,5.43661337487151,-0.887848946384781,24.70562,24.51918,23.29461,22.15194,21.83889,0.8112236,0.5154249,0.2703704,0.1530293,0.3892398
1237657189833834769,2728,301,1,449,273,3,5.43931932699059,-0.885702709940541,21.2028,19.20787,18.17051,17.65094,17.34698,0.1567871,0.01516285,0.009399269,0.008681946,0.02056746
1237657189833834591,2728,301,1,449,95,6,5.41844861187349,-0.885930396400093,17.95434,16.77804,16.26502,16.08092,15.96964,0.01169748,0.004427478,0.0050244,0.004932408,0.006799402
1237657189833835528,2728,301,1,449,1032,6,5.4138621787605,-0.899890357431809,23.88446,23.08744,22.39756,22.03083,22.71821,0.9764645,0.2724172,0.2034699,0.2201997,0.8784205
1237657189833835525,2728,301,1,449,1029,3,5.4126294022974,-0.898368884624783,24.95812,22.74219,21.52701,21.08605,22.65097,1.604638,0.2779739,0.1356454,0.1361928,1.22089
1237657189833835531,2728,301,1,449,1035,3,5.41546214537789,-0.894486522984831,23.46718,23.08806,22.47323,22.62817,21.6929,0.6253617,0.22517,0.1801032,0.296347,0.4515192
1237657189833834730,2728,301,1,449,234,3,5.42979672693656,-0.883178613922516,25.75321,20.18741,18.99835,18.47499,18.22087,0.9142203,0.02892645,0.01521826,0.01394019,0.03682489
1237657189833834746,2728,301,1,449,250,6,5.43046744452079,-0.886096318623057,24.01406,24.62009,23.50298,23.30771,23.17058,0.7659888,0.5866309,0.3638957,0.5420035,0.6229062
1237657189833834735,2728,301,1,449,239,3,5.42454552675008,-0.882783809389213,23.86312,23.38917,23.00246,22.41313,21.90665,0.7048427,0.2558361,0.235255,0.2090987,0.4364627
1237657189833834725,2728,301,1,449,229,3,5.42458099317059,-0.892332128354376,20.58497,18.6543,17.7729,17.38197,17.09647,0.07117035,0.008728922,0.006309577,0.006232799,0.01334636
1237657189833834747,2728,301,1,449,251,6,5.4277527441651,-0.884094425113147,24.78727,23.66035,23.42004,24.77132,23.14115,0.8874118,0.3124138,0.3177159,0.5902905,0.5652789
1237657189833834726,2728,301,1,449,230,6,5.4223138285513,-0.891900624248453,25.11715,21.45548,19.86357,18.72534,18.10481,0.7197422,0.04843248,0.01794541,0.01135837,0.02061294
1237657189833834978,2728,301,1,449,482,6,5.41913212019472,-0.891049722108534,22.41709,26.38743,24.46425,23.36912,22.81877,0.2306512,0.32516,0.5349622,0.3982701,0.5530431
1237657189833835259,2728,301,1,449,763,3,5.41541907245863,-0.922961464071755,22.12125,21.20181,20.4041,19.88218,19.63892,0.2664563,0.05909274,0.04127941,0.03888735,0.1120213
1237657189833835530,2728,301,1,449,1034,3,5.41543611683517,-0.906952943008284,24.47,22.66042,22.03588,22.04786,23.21787,1.443297,0.221419,0.1755853,0.2632857,0.9667715
1237657189833835762,2728,301,1,449,1266,3,5.41357676868381,-0.910884603581538,25.53406,26.05838,25.18218,24.96586,20.59661,0.6814842,0.484576,0.6477426,0.6035942,0.17663
1237657189833834866,2728,301,1,449,370,3,5.41421230016408,-0.904350993710309,21.16352,19.10128,17.93959,17.50287,17.16483,0.1724195,0.01549247,0.008827098,0.008556582,0.02006081
1237657189833834733,2728,301,1,449,237,3,5.43410184694307,-0.886149239214919,25.28918,22.05183,21.8317,21.95829,22.06058,0.9318416,0.1078306,0.1194964,0.1956642,0.6610031
1237657189833835707,2728,301,1,449,1211,3,5.42815471268432,-0.891419107254058,25.61223,23.36033,22.85992,22.10586,22.52497,0.5957002,0.2475697,0.2067449,0.1611032,0.5782217
1237657189833834985,2728,301,1,449,489,6,5.43154847073538,-0.893512137590576,22.58014,23.95425,25.45029,23.972,22.16722,0.264963,0.3696584,0.472245,0.5406445,0.472043
1237657189833835286,2728,301,1,449,790,3,5.43218902827499,-0.889950498623971,25.59832,22.74583,22.60453,23.33786,24.35259,1.367106,0.3189639,0.4003261,1.038074,0.6526456
1237657189833835546,2728,301,1,449,1050,6,5.42910080898361,-0.893554908334784,24.39445,22.81525,22.30823,22.26868,20.95084,1.056627,0.2008841,0.1708846,0.2459096,0.2830416
1237657189833835273,2728,301,1,449,777,3,5.42433962845962,-0.903098675150381,23.50101,21.47534,20.64965,20.19535,19.83318,0.64038,0.05824862,0.03864697,0.03794936,0.09894526
1237657189833835165,2728,301,1,449,669,3,5.3757382268326,-0.884676866733469,24.27194,21.83193,20.79463,20.36455,20.31765,1.181309,0.09556922,0.05474812,0.05566803,0.1906516
1237657189833835678,2728,301,1,449,1182,6,5.37364066189804,-0.89448336446317,25.79143,26.31422,25.31757,22.36024,23.50646,0.515631,0.3624167,0.5070295,0.1829968,0.4791314
1237657189833835471,2728,301,1,449,975,3,5.36990565524081,-0.897515055464972,24.37641,22.97248,21.90913,21.30205,21.38828,1.291904,0.2714411,0.1492426,0.1288681,0.4968791
1237657189833834953,2728,301,1,449,457,3,5.37278784370682,-0.897877506403577,21.73446,26.57939,25.8577,24.30967,22.55524,0.1904043,0.4437349,0.6301984,0.966545,0.8927287
1237657189833835193,2728,301,1,449,697,3,5.3879049747942,-0.883839354732364,23.00083,22.49406,21.67057,22.01028,22.30203,0.4529578,0.1417661,0.09310031,0.1823299,0.6646233
1237657189833835497,2728,301,1,449,1001,3,5.38523313270986,-0.88493407045974,26.26865,23.07914,21.83542,20.787,20.46384,0.4732257,0.2580122,0.1188955,0.07035945,0.1987394
1237657189833835685,2728,301,1,449,1189,3,5.38340552080422,-0.882609641598727,24.82936,23.63859,23.19864,22.09267,21.99252,0.8676955,0.3180084,0.2875859,0.1680666,0.4873878
1237657189833834958,2728,301,1,449,462,3,5.38083664990825,-0.884122408286992,21.81283,21.36399,21.07905,20.71722,20.88763,0.1660959,0.05366859,0.05620842,0.05954043,0.2494395
1237657189833834957,2728,301,1,449,461,6,5.3803642869014,-0.891085932071371,22.35204,25.7003,24.81661,24.89953,22.66941,0.2170678,0.5030736,0.5610744,0.5037622,0.5487302
1237657189833835686,2728,301,1,449,1190,6,5.38390205154451,-0.888064586908789,23.21886,24.22471,23.40326,22.19045,22.25126,0.4532625,0.4563749,0.31449,0.1686455,0.5142394
1237657189833835683,2728,301,1,449,1187,6,5.38059260134014,-0.886971107763314,24.72085,23.98833,23.16876,22.065,20.969,0.81686,0.3733008,0.2464421,0.143432,0.2034729
1237657189833835498,2728,301,1,449,1002,6,5.38458477645787,-0.885858554200786,24.69012,25.00763,24.83663,22.68997,22.9334,0.845487,0.6065667,0.5971797,0.2560095,0.5833398
1237657189833835159,2728,301,1,449,663,3,5.37250768422689,-0.891332934464351,25.96656,25.61168,22.9127,23.94366,21.97058,0.4482093,0.5572513,0.2212467,0.5876024,0.4612924
1237657189833835158,2728,301,1,449,662,3,5.37387401765727,-0.891215429663456,23.03183,20.96325,19.84056,19.40406,19.0481,0.4741466,0.04000566,0.05318534,0.02112281,0.05314559
1237657189833835672,2728,301,1,449,1176,3,5.37004451640507,-0.922240461604722,26.17993,26.35799,23.77959,21.48845,21.38627,0.5582067,0.5188031,0.6560583,0.1444417,0.4533979
1237657189833835188,2728,301,1,449,692,3,5.38619502573613,-0.905944041734328,22.27671,21.32782,20.49791,20.27854,20.291,0.2987202,0.06561865,0.0495507,0.05481092,0.1971785
1237657189833835485,2728,301,1,449,989,3,5.37955064889547,-0.913654406561182,24.5303,22.81003,21.49276,20.86201,20.5348,1.005268,0.1809396,0.07872961,0.06697845,0.1852771
1237657189833834954,2728,301,1,449,458,6,5.37520025835704,-0.906743055050358,22.3786,25.6906,24.96645,24.62029,22.40467,0.2217585,0.5015295,0.554674,0.5571635,0.5174322
1237657189833835145,2728,301,1,449,649,3,5.37074467026173,-0.909094825530479,23.22489,22.5868,23.10842,22.75596,21.74056,0.6518781,0.1796158,0.3796677,0.4108651,0.5795098
1237657189833835153,2728,301,1,449,657,6,5.37306061441961,-0.914155971894252,25.11388,22.94767,22.0105,21.054,20.76219,0.7655097,0.1747422,0.1016981,0.06526706,0.1839031
